name,maintainers,license,repository,repoName,urlWorks
debug,qix thebigredgeek tootallnate tjholowaychuk,MIT,github.com/visionmedia/debug,debug,1
semver,nlf ruyadorno darcyclarke isaacs,ISC,github.com/npm/node-semver,node-semver,1
supports-color,sindresorhus qix,MIT,github.com/chalk/supports-color,supports-color,1
ms,elsigh leerobinson hankvercel okbel samsisle cleishm nazarenooviedo chibicode gielcobben jaredpalmer jkrems prateekbh kikobeats gmonaco housseindjirdeh developit spanicker keanulee atcastle janicklas-ralph skllcrn paco guybedford ragojose williamli msweeneydev coetry rabaut lfades mfix22 ijjk arzafran umegaya timer anatrajkovska paulogdm andybitz mglagola lucleray zeit-bot styfle juancampa dav-is quietshu joecohens codetheory matheuss igorklopov leo nkzawa tootallnate rauchg timneutkens javivelasco iamevilrabbit,MIT,github.com/vercel/ms,ms,1
kind-of,doowb jonschlinkert,MIT,github.com/jonschlinkert/kind-of,kind-of,1
chalk,qix sindresorhus,MIT,github.com/chalk/chalk,chalk,1
ansi-regex,qix sindresorhus,MIT,github.com/chalk/ansi-regex,ansi-regex,1
strip-ansi,qix sindresorhus,MIT,github.com/chalk/strip-ansi,strip-ansi,1
source-map,ejpbruel mozilla mozilla-devtools nickfitzgerald tromey,BSD-3-Clause,github.com/mozilla/source-map,source-map,1
string-width,sindresorhus,MIT,github.com/sindresorhus/string-width,string-width,1
readable-stream,cwmma isaacs matteo.collina nodejs-foundation rvagg tootallnate,MIT,github.com/nodejs/readable-stream,readable-stream,1
ansi-styles,sindresorhus qix,MIT,github.com/chalk/ansi-styles,ansi-styles,1
get-stream,sindresorhus,MIT,github.com/sindresorhus/get-stream,get-stream,1
commander,zhiyelee somekittens tjholowaychuk vanesyan shadowspawn abetomo,MIT,github.com/tj/commander.js,commander.js,1
find-up,sindresorhus,MIT,github.com/sindresorhus/find-up,find-up,1
inherits,isaacs,ISC,github.com/isaacs/inherits,inherits,1
safe-buffer,feross mafintosh,MIT,github.com/feross/safe-buffer,safe-buffer,1
qs,nlf ljharb,BSD-3-Clause,github.com/ljharb/qs,qs,1
has-flag,sindresorhus,MIT,github.com/sindresorhus/has-flag,has-flag,1
yargs,bcoe oss-bot,MIT,github.com/yargs/yargs,yargs,1
is-fullwidth-code-point,sindresorhus,MIT,github.com/sindresorhus/is-fullwidth-code-point,is-fullwidth-code-point,1
camelcase,sindresorhus,MIT,github.com/sindresorhus/camelcase,camelcase,1
yargs-parser,bcoe nexdrew oss-bot,ISC,github.com/yargs/yargs-parser,yargs-parser,1
define-property,doowb jonschlinkert,MIT,github.com/jonschlinkert/define-property,define-property,1
punycode,mathias reconbot,MIT,github.com/bestiejs/punycode.js,punycode.js,1
string_decoder,cwmma matteo.collina nodejs-foundation rvagg substack,MIT,github.com/nodejs/string_decoder,string_decoder,1
type-fest,sindresorhus,(MI,github.com/sindresorhus/type-fest,type-fest,1
p-locate,sindresorhus,MIT,github.com/sindresorhus/p-locate,p-locate,1
locate-path,sindresorhus,MIT,github.com/sindresorhus/locate-path,locate-path,1
color-convert,qix,MIT,github.com/Qix-/color-convert,color-convert,1
color-name,dfcreative,MIT,github.com/colorjs/color-name,color-name,1
postcss-value-parser,beneb trysound,MIT,github.com/TrySound/postcss-value-parser,postcss-value-parser,1
rimraf,isaacs,ISC,github.com/isaacs/rimraf,rimraf,1
